iter	Passed	Remaining
0	1	174
1	3	165
2	5	181
3	7	176
4	8	170
5	10	163
6	11	158
7	13	152
8	15	151
9	16	150
10	18	150
11	20	149
12	22	148
13	23	146
14	25	145
15	27	145
16	29	144
17	31	143
18	32	140
19	34	138
20	36	136
21	37	133
22	39	131
23	41	129
24	42	127
25	44	127
26	46	125
27	49	126
28	51	126
29	53	124
30	54	121
31	56	119
32	58	117
33	59	115
34	61	113
35	62	111
36	63	108
37	65	106
38	67	104
39	68	102
40	70	101
41	72	100
42	74	98
43	76	96
44	77	94
45	78	92
46	86	97
47	87	95
48	89	93
49	91	91
50	95	91
51	97	89
52	98	87
53	100	85
54	101	83
55	103	81
56	104	79
57	106	77
58	108	75
59	109	73
60	111	71
61	113	69
62	115	67
63	117	66
64	119	64
65	120	62
66	122	60
67	124	58
68	125	56
69	126	54
70	128	52
71	130	50
72	132	48
73	134	47
74	136	45
75	139	43
76	140	42
77	142	40
78	145	38
79	147	36
80	148	34
81	150	33
82	152	31
83	154	29
84	156	27
85	158	25
86	161	24
87	163	22
88	164	20
89	166	18
90	168	16
91	170	14
92	172	12
93	173	11
94	175	9
95	177	7
96	179	5
97	181	3
98	184	1
99	186	0
