iter	Passed	Remaining
0	146	146000
1	147	73612
2	148	49437
3	150	37361
4	151	30094
5	152	25241
6	153	21771
7	154	19181
8	156	17188
9	157	15565
10	158	14223
11	159	13115
12	163	12395
13	166	11731
14	168	11063
15	169	10442
16	171	9892
17	172	9409
18	173	8962
19	174	8563
20	175	8198
21	176	7861
22	177	7552
23	178	7269
24	179	7012
25	183	6880
26	186	6713
27	187	6520
28	189	6331
29	190	6149
30	191	5975
31	192	5813
32	193	5668
33	194	5531
34	195	5396
35	196	5273
36	197	5149
37	198	5034
38	199	4923
39	200	4818
40	201	4717
41	204	4657
42	205	4580
43	207	4509
44	208	4429
45	210	4356
46	211	4282
47	212	4211
48	213	4141
49	214	4073
50	215	4014
51	216	3952
52	217	3890
53	218	3831
54	219	3774
55	220	3718
56	221	3663
57	222	3611
58	223	3562
59	225	3525
60	227	3499
61	229	3479
62	231	3438
63	232	3397
64	233	3356
65	234	3317
66	235	3277
67	236	3242
68	237	3206
69	238	3171
70	239	3136
71	240	3101
72	241	3067
73	242	3034
74	243	3002
75	244	2972
76	245	2941
77	247	2929
78	249	2912
79	251	2890
80	252	2864
81	253	2840
82	254	2809
83	255	2784
84	256	2759
85	257	2736
86	258	2712
87	259	2688
88	260	2665
89	261	2642
90	262	2620
91	263	2600
92	264	2579
93	265	2557
94	266	2536
95	267	2519
96	270	2518
97	272	2509
98	273	2490
99	274	2473
100	275	2455
101	276	2436
102	277	2419
103	278	2402
104	279	2385
105	281	2370
106	282	2353
107	282	2337
108	283	2320
109	284	2305
110	285	2289
111	286	2273
112	287	2258
113	289	2246
114	293	2258
115	294	2247
116	295	2232
117	296	2219
118	298	2209
119	299	2196
120	300	2183
121	301	2169
122	303	2163
123	304	2151
124	305	2139
125	306	2128
126	307	2115
127	308	2104
128	310	2093
129	312	2090
130	314	2083
131	315	2074
132	317	2069
133	318	2060
134	319	2050
135	320	2039
136	322	2029
137	323	2022
138	325	2014
139	326	2004
140	327	1995
141	328	1983
142	329	1975
143	331	1968
144	333	1966
145	336	1966
146	337	1960
147	339	1953
148	340	1946
149	342	1940
150	343	1933
151	345	1925
152	346	1916
153	347	1908
154	348	1900
155	349	1892
156	350	1884
157	353	1884
158	355	1881
159	357	1875
160	358	1867
161	360	1864
162	361	1857
163	363	1853
164	364	1847
165	366	1841
166	367	1834
167	369	1829
168	370	1823
169	372	1817
170	373	1811
171	374	1804
172	380	1820
173	383	1818
174	385	1816
175	386	1811
176	388	1805
177	389	1800
178	391	1794
179	392	1787
180	393	1782
181	396	1779
182	397	1773
183	400	1776
184	402	1771
185	403	1767
186	405	1762
187	408	1766
188	413	1772
189	414	1766
190	415	1761
191	417	1756
192	418	1751
193	423	1757
194	425	1754
195	426	1750
196	428	1745
197	429	1739
198	430	1734
199	432	1730
200	434	1725
201	435	1720
202	436	1714
203	438	1709
204	439	1704
205	441	1700
206	443	1699
207	445	1695
208	451	1707
209	453	1704
210	454	1700
211	457	1699
212	458	1694
213	460	1689
214	462	1686
215	470	1708
216	472	1704
217	473	1699
218	475	1694
219	476	1690
220	479	1688
221	481	1686
222	484	1686
223	485	1682
224	488	1683
225	490	1678
226	491	1674
227	494	1674
228	499	1681
229	511	1713
230	513	1710
231	515	1707
232	517	1703
233	518	1698
234	520	1693
235	521	1687
236	522	1682
237	524	1678
238	525	1674
239	527	1670
240	534	1684
241	537	1682
242	538	1677
243	540	1673
244	541	1668
245	542	1663
246	544	1658
247	545	1653
248	546	1649
249	548	1645
250	549	1640
251	551	1636
252	552	1631
253	555	1631
254	557	1628
255	559	1624
256	560	1621
257	562	1617
258	564	1613
259	565	1609
260	566	1605
261	568	1600
262	569	1596
263	571	1594
264	573	1589
265	574	1586
266	579	1589
267	580	1586
268	582	1581
269	583	1578
270	586	1576
271	587	1573
272	593	1580
273	594	1576
274	600	1582
275	602	1580
276	604	1577
277	606	1575
278	608	1572
279	609	1568
280	611	1564
281	612	1560
282	614	1556
283	615	1552
284	619	1554
285	622	1555
286	626	1555
287	627	1552
288	630	1552
289	637	1561
290	640	1560
291	644	1562
292	646	1560
293	648	1557
294	650	1554
295	652	1551
296	653	1547
297	655	1543
298	657	1542
299	659	1538
300	661	1537
301	667	1542
302	669	1540
303	671	1538
304	673	1534
305	675	1531
306	676	1527
307	678	1523
308	679	1519
309	680	1515
310	682	1511
311	683	1507
312	685	1504
313	687	1502
314	689	1499
315	690	1494
316	691	1490
317	693	1486
318	694	1483
319	696	1479
320	697	1475
321	699	1472
322	702	1472
323	703	1468
324	705	1464
325	707	1463
326	709	1460
327	711	1457
328	713	1455
329	714	1451
330	718	1451
331	720	1450
332	722	1447
333	724	1444
334	725	1440
335	726	1435
336	728	1432
337	732	1435
338	734	1432
339	736	1429
340	738	1426
341	739	1422
342	740	1419
343	742	1414
344	743	1411
345	744	1407
346	745	1403
347	747	1399
348	748	1395
349	749	1392
350	752	1391
351	754	1388
352	756	1386
353	758	1383
354	759	1379
355	760	1376
356	762	1373
357	764	1370
358	766	1368
359	767	1364
360	769	1362
361	774	1365
362	778	1365
363	780	1363
364	782	1360
365	783	1357
366	784	1353
367	786	1350
368	787	1346
369	788	1343
370	789	1339
371	791	1336
372	792	1332
373	795	1332
374	797	1329
375	799	1326
376	800	1322
377	801	1319
378	802	1315
379	804	1312
380	805	1309
381	807	1306
382	808	1302
383	809	1299
384	811	1295
385	812	1292
386	813	1288
387	814	1285
388	816	1282
389	818	1280
390	819	1277
391	821	1273
392	822	1270
393	823	1266
394	824	1263
395	826	1260
396	827	1256
397	828	1253
398	829	1250
399	832	1248
400	833	1244
401	834	1241
402	835	1238
403	837	1234
404	839	1232
405	840	1229
406	842	1227
407	843	1224
408	845	1221
409	846	1218
410	848	1215
411	849	1212
412	850	1209
413	851	1205
414	853	1202
415	854	1199
416	855	1195
417	856	1192
418	857	1188
419	859	1186
420	861	1184
421	862	1182
422	864	1179
423	866	1176
424	867	1173
425	869	1171
426	870	1168
427	871	1165
428	873	1162
429	874	1159
430	875	1156
431	876	1153
432	878	1149
433	879	1146
434	882	1145
435	884	1143
436	885	1140
437	886	1137
438	887	1134
439	888	1131
440	890	1128
441	891	1125
442	893	1122
443	894	1120
444	895	1117
445	897	1114
446	898	1111
447	899	1108
448	900	1105
449	902	1103
450	904	1101
451	906	1099
452	908	1096
453	909	1093
454	911	1091
455	912	1088
456	914	1086
457	915	1082
458	916	1080
459	917	1077
460	918	1074
461	920	1071
462	921	1068
463	923	1066
464	927	1066
465	929	1065
466	930	1062
467	932	1059
468	933	1057
469	935	1054
470	936	1052
471	938	1049
472	940	1047
473	941	1045
474	942	1042
475	946	1042
476	948	1039
477	949	1037
478	951	1034
479	952	1032
480	954	1029
481	955	1026
482	956	1024
483	958	1021
484	960	1019
485	965	1021
486	970	1022
487	972	1020
488	974	1018
489	977	1017
490	978	1014
491	980	1012
492	983	1010
493	984	1008
494	985	1005
495	987	1003
496	988	1000
497	990	998
498	991	995
499	993	993
500	994	990
501	996	988
502	997	985
503	998	982
504	999	979
505	1001	977
506	1002	974
507	1003	972
508	1004	969
509	1005	966
510	1007	963
511	1008	961
512	1010	958
513	1012	957
514	1014	955
515	1016	953
516	1017	950
517	1019	948
518	1020	945
519	1021	943
520	1022	940
521	1024	937
522	1025	935
523	1026	932
524	1027	930
525	1029	927
526	1030	924
527	1031	922
528	1034	920
529	1036	918
530	1038	917
531	1040	915
532	1042	913
533	1043	911
534	1045	909
535	1048	907
536	1056	910
537	1058	908
538	1059	906
539	1060	903
540	1062	901
541	1063	898
542	1064	895
543	1065	893
544	1066	890
545	1067	887
546	1069	885
547	1070	882
548	1071	880
549	1072	877
550	1074	875
551	1076	874
552	1079	872
553	1081	870
554	1082	867
555	1083	865
556	1084	862
557	1086	860
558	1087	857
559	1088	855
560	1089	852
561	1090	850
562	1091	847
563	1092	844
564	1093	842
565	1094	839
566	1103	842
567	1105	840
568	1106	838
569	1107	835
570	1109	833
571	1110	830
572	1111	828
573	1112	825
574	1114	823
575	1115	821
576	1116	818
577	1121	818
578	1124	817
579	1125	815
580	1128	814
581	1130	811
582	1131	809
583	1133	807
584	1135	805
585	1136	802
586	1138	800
587	1139	798
588	1140	795
589	1143	794
590	1144	792
591	1145	789
592	1147	787
593	1148	784
594	1149	782
595	1150	780
596	1151	777
597	1152	775
598	1154	772
599	1155	770
600	1156	767
601	1157	765
602	1158	762
603	1159	760
604	1161	758
605	1164	756
606	1165	754
607	1166	752
608	1168	750
609	1169	747
610	1171	745
611	1172	743
612	1173	740
613	1174	738
614	1175	736
615	1177	733
616	1178	731
617	1179	729
618	1181	726
619	1183	725
620	1184	723
621	1187	721
622	1188	719
623	1190	717
624	1192	715
625	1194	713
626	1195	711
627	1197	709
628	1198	706
629	1199	704
630	1200	702
631	1203	700
632	1206	699
633	1208	697
634	1210	695
635	1211	693
636	1212	691
637	1214	688
638	1215	686
639	1216	684
640	1217	682
641	1219	679
642	1220	677
643	1221	675
644	1222	673
645	1225	671
646	1227	669
647	1229	668
648	1231	665
649	1232	663
650	1233	661
651	1235	659
652	1236	657
653	1238	655
654	1239	652
655	1240	650
656	1242	648
657	1243	646
658	1245	644
659	1249	643
660	1252	642
661	1253	640
662	1255	638
663	1256	635
664	1258	633
665	1259	631
666	1261	629
667	1262	627
668	1263	625
669	1265	623
670	1269	622
671	1272	620
672	1276	620
673	1279	618
674	1282	617
675	1287	617
676	1300	620
677	1302	618
678	1306	617
679	1307	615
680	1309	613
681	1311	611
682	1323	614
683	1325	612
684	1327	610
685	1333	610
686	1334	608
687	1341	608
688	1344	606
689	1346	605
690	1348	603
691	1349	600
692	1351	598
693	1353	596
694	1355	594
695	1356	592
696	1361	591
697	1363	589
698	1365	588
699	1367	586
700	1369	584
701	1372	582
702	1373	580
703	1375	578
704	1377	576
705	1378	574
706	1380	571
707	1387	572
708	1389	570
709	1390	567
710	1391	565
711	1393	563
712	1395	561
713	1397	559
714	1398	557
715	1400	555
716	1407	555
717	1410	553
718	1412	551
719	1414	550
720	1416	548
721	1418	546
722	1419	543
723	1421	541
724	1422	539
725	1423	537
726	1428	536
727	1431	534
728	1433	532
729	1434	530
730	1435	528
731	1437	526
732	1438	524
733	1440	521
734	1441	519
735	1442	517
736	1444	515
737	1445	513
738	1446	510
739	1449	509
740	1451	507
741	1452	505
742	1453	502
743	1455	500
744	1456	498
745	1457	496
746	1459	494
747	1460	492
748	1461	489
749	1463	487
750	1465	485
751	1466	483
752	1467	481
753	1468	479
754	1471	477
755	1474	475
756	1475	473
757	1476	471
758	1478	469
759	1479	467
760	1480	465
761	1482	462
762	1483	460
763	1484	458
764	1486	456
765	1488	454
766	1489	452
767	1495	451
768	1498	450
769	1500	448
770	1502	446
771	1504	444
772	1506	442
773	1507	440
774	1509	438
775	1515	437
776	1517	435
777	1518	433
778	1520	431
779	1522	429
780	1524	427
781	1526	425
782	1528	423
783	1529	421
784	1531	419
785	1533	417
786	1539	416
787	1541	414
788	1546	413
789	1548	411
790	1550	409
791	1552	407
792	1553	405
793	1556	403
794	1561	402
795	1565	401
796	1567	399
797	1570	397
798	1571	395
799	1573	393
800	1574	391
801	1576	389
802	1577	387
803	1582	385
804	1585	383
805	1587	382
806	1597	381
807	1598	379
808	1603	378
809	1605	376
810	1607	374
811	1611	373
812	1614	371
813	1615	369
814	1617	367
815	1618	364
816	1619	362
817	1620	360
818	1622	358
819	1625	356
820	1627	354
821	1628	352
822	1629	350
823	1631	348
824	1633	346
825	1635	344
826	1636	342
827	1637	340
828	1638	337
829	1639	335
830	1640	333
831	1641	331
832	1642	329
833	1643	327
834	1644	325
835	1646	322
836	1649	321
837	1650	319
838	1651	316
839	1652	314
840	1654	312
841	1655	310
842	1656	308
843	1657	306
844	1659	304
845	1660	302
846	1662	300
847	1663	298
848	1664	296
849	1668	294
850	1673	293
851	1675	291
852	1676	288
853	1677	286
854	1679	284
855	1680	282
856	1681	280
857	1682	278
858	1683	276
859	1684	274
860	1685	272
861	1686	270
862	1688	267
863	1690	266
864	1692	264
865	1694	262
866	1695	260
867	1696	258
868	1698	256
869	1699	253
870	1700	251
871	1704	250
872	1706	248
873	1707	246
874	1708	244
875	1709	241
876	1710	239
877	1714	238
878	1717	236
879	1719	234
880	1720	232
881	1722	230
882	1723	228
883	1724	226
884	1725	224
885	1727	222
886	1728	220
887	1729	218
888	1730	216
889	1732	214
890	1736	212
891	1738	210
892	1740	208
893	1742	206
894	1743	204
895	1744	202
896	1746	200
897	1747	198
898	1748	196
899	1749	194
900	1750	192
901	1752	190
902	1753	188
903	1754	186
904	1758	184
905	1760	182
906	1762	180
907	1764	178
908	1766	176
909	1768	174
910	1771	173
911	1773	171
912	1774	169
913	1776	167
914	1779	165
915	1781	163
916	1783	161
917	1784	159
918	1785	157
919	1786	155
920	1787	153
921	1789	151
922	1790	149
923	1791	147
924	1792	145
925	1793	143
926	1794	141
927	1795	139
928	1796	137
929	1797	135
930	1800	133
931	1801	131
932	1802	129
933	1804	127
934	1805	125
935	1806	123
936	1807	121
937	1808	119
938	1809	117
939	1813	115
940	1814	113
941	1815	111
942	1816	109
943	1817	107
944	1818	105
945	1819	103
946	1826	102
947	1827	100
948	1828	98
949	1830	96
950	1831	94
951	1832	92
952	1833	90
953	1834	88
954	1835	86
955	1836	84
956	1837	82
957	1839	80
958	1840	78
